title_original,ingredients_final,category,title_cleaned,steps_cleaned
Opor Ayam Ngirit,"ayam, labu siam, daun salam, daun jeruk, serai, lengkuas, santan, air, gula, garam, penyedap rasa, bawang merah, bawang putih, ketumbar, lada, kemiri, kunyit, jahe",ayam,Opor Ayam,"Cuci bersih ayam, kemudian rebus 25 menit. Angkat ayam. Haluskan bawang merah, bawang putih, ketumbar, lada, kemiri, kunyit, dan jahe. Potong labu siam. Tumis bumbu halus hingga harum. Kemudian, masukkan serai, daun salam, daun jeruk, dan lengkuas. Tumis lagi hingga harum. Masukkan ayam, tumis sebentar, lalu masukkan air. Setelah itu, masukkan labu siam yang sudah dipotong. Masukkan santan, tambahkan gula, garam, dan penyedap rasa. Tutup hingga air agak surut, sambil diaduk."
Ayam dan tahu kecap,"ayam, tahu, bawang merah, bawang putih, bawang bombay, kecap manis, garam, margarin",ayam,Ayam dan Tahu Kecap,"Cuci dan potong dadu ayam dan tahu. Goreng sebentar ayam dan tahu. Haluskan bawang merah dan bawang putih. Iris bawang bombay. Tumis bumbu halus dengan margarin. Kemudian, tambahkan bawang bombay, lalu masukkan ayam dan tahu. Tambahkan kecap manis dan garam."
Sup ayam soun,"tulang, wortel, kol, jagung, tomat, jahe, bawang bombay, bawang putih, pala, seledri, soun, air, gula, minyak goreng",ayam,Sup Ayam Soun,"Panaskan minyak goreng. Tumis bawang putih halus, bawang bombay, jahe, dan pala hingga harum. Angkat dan sisihkan bumbu tumis. Didihkan air, lalu masukkan tulang. Masak hingga tulang berubah warna. Kemudian, masukkan bumbu yang sudah ditumis, wortel, dan jagung. Masak hingga wortel setengah matang. Setelah itu, masukkan kol, seledri, dan tomat. Tambahkan gula. Masak hingga matang, lalu masukkan soun."
Ayam kremes (ala ayam goreng suharti),"ayam, tepung tapioka, telur, air, lengkuas, kunyit, bawang putih, kaldu bubuk, garam, minyak goreng",ayam,Ayam Kremes,"Haluskan lengkuas, kunyit, dan bawang putih. Ungkep ayam dengan air, bumbu halus, kaldu bubuk, dan garam. Masak hingga ayam empuk. Ambil ayam, lalu tiriskan. Ambil air ungkepan ayam, biarkan hingga hangat, lalu saring. Masukkan tepung tapioka dan telur ke air ungkepan ayam, lalu aduk. Panaskan minyak goreng, kemudian siram adonan kremes."
Suwir ayam pedas,"ayam, serai, jahe, daun jeruk, cabai merah, cabai hijau, air, minyak goreng, bawang merah, bawang putih, cabai rawit, garam",ayam,Suwir Ayam Pedas,"Haluskan bawang merah, bawang putih, cabai merah, cabai hijau, dan cabai rawit. Memarkan daun jeruk dan serai. Panaskan minyak goreng. Tumis bumbu halus bersama daun jeruk, serai, dan jahe hingga harum. Masukkan ayam, aduk hingga merata dengan bumbu. Tambahkan air dan garam, masak hingga air menyusut dan minyak keluar."
Ayam Fillet Cabe Ijo,"ayam, cabai hijau, bawang putih, serai, daun jeruk, bawang merah, penyedap rasa, garam, bumbu instan",ayam,Ayam Fillet Cabai Hijau,"Cuci bersih ayam, lumuri dengan bumbu instan, dan tambahkan air secukupnya. Ungkep ayam selama 5 menit, lalu tiriskan. Goreng ayam sebentar, kemudian angkat dan sisihkan. Rebus cabai hijau dan bawang putih hingga mendidih, lalu tiriskan. Haluskan bahan yang sudah direbus. Tumis bawang merah yang sudah diiris hingga harum. Masukkan serai dan daun jeruk, lalu tambahkan bumbu halus yang sudah dihaluskan. Masak hingga bumbu hijau berubah warna. Kemudian, masukkan ayam yang sudah digoreng, bumbui dengan garam dan penyedap rasa."
Ayam goreng laos,"ayam, daun jeruk, daun salam, serai, lengkuas, jahe, kunyit, bawang merah, bawang putih, kemiri, ketumbar, garam",ayam,Ayam Goreng Laos,"Potong ayam dan cuci bersih. Haluskan lengkuas, jahe, kunyit, bawang merah, bawang putih, kemiri, dan ketumbar. Masukkan ayam dan bumbu halus ke dalam panci. Tambahkan air hingga ayam terendam, lalu masukkan garam, serai, daun salam, dan daun jeruk. Masak hingga air menyusut. Setelah itu, pisahkan ayam dari bumbu, lalu goreng hingga berwarna cokelat keemasan."
Gulai Ayam,"ayam, cabai merah, bawang merah, bawang putih, kunyit, jahe, kemiri, santan, garam, serai, daun salam",ayam,Gulai Ayam,"Haluskan cabai merah, bawang merah, bawang putih, kunyit, jahe, dan kemiri. Tumis bumbu halus hingga harum. Masukkan ayam, serai, dan daun salam, aduk rata. Kemudian, tuangkan santan dan tambahkan garam, aduk perlahan agar santan tidak pecah. Masak hingga matang."
Ayam cabe ijo,"ayam, cabai, bawang merah, bawang putih, tomat, garam, penyedap rasa",ayam,Ayam Cabai Hijau,"Cuci bersih ayam, lalu goreng hingga setengah kering. Sisihkan. Haluskan cabai, bawang merah, bawang putih, dan tomat. Tumis bumbu halus hingga matang. Tambahkan garam dan penyedap rasa. Masukkan ayam yang sudah digoreng, aduk hingga tercampur rata dengan tumisan bumbu."
Telur dadar isi ayam wortel,"telur, wortel, ayam cincang, bawang merah, bawang putih, cabai merah, daun bawang, garam, gula, kaldu",ayam,Telur Dadar Isi Ayam Wortel,"Potong wortel bentuk dadu kecil, lalu rebus hingga empuk. Sisihkan. Tumis bawang merah dan bawang putih hingga harum. Masukkan ayam cincang, bumbui dengan garam, lalu masak hingga matang. Angkat. Campurkan tumisan bawang dan ayam, wortel rebus, cabai merah yang sudah diiris, dan daun bawang ke dalam kocokan telur. Tambahkan garam, gula, dan kaldu. Panaskan wajan anti lengket. Tuang adonan telur, masak sambil dilipat dan ditekan agar matang merata. Balik telur, lalu angkat setelah matang."
Ayam panggang teflon no minyak,"fillet ayam, lemon, garam, lada",ayam,Ayam Panggang Teflon,"Marinasi fillet ayam dengan air lemon, garam, dan lada. Diamkan selama 15 menit. Panggang fillet ayam di atas teflon dengan api kecil hingga matang merata dan berwarna kecoklatan. Angkat."
Ayam Suwir Bumbu Pedas,"ayam, daun bawang, cabai rawit, cabai hijau, kemiri, bawang putih, bawang merah, garam, penyedap rasa, minyak goreng, kecap manis, daun jeruk",ayam,Ayam Suwir Bumbu Pedas,"Suwir ayam. Iris daun bawang. Haluskan bawang putih, bawang merah, cabai hijau, cabai rawit, dan kemiri. Memarkan daun jeruk. Panaskan minyak goreng. Tumis bumbu halus hingga harum. Masukkan ayam suwir dan daun bawang. Tambahkan garam, penyedap rasa, dan kecap manis, lalu aduk rata."
Ayam Goreng Mentega,"ayam, jeruk, kecap manis, bawang putih, jahe, jeruk limau, garam, margarin",ayam,Ayam Goreng Mentega,"Campurkan ayam dengan perasan air jeruk dan garam, aduk lalu diamkan sebentar. Tiriskan, kemudian goreng ayam hingga berkulit. Tumis bawang putih dengan margarin hingga harum, lalu masukkan jahe. Tambahkan kecap manis dan sedikit air, aduk rata. Masukkan ayam goreng, aduk rata kembali. Tambahkan garam dan perasan jeruk limau."
20. Tempe Tumis Kulit Ayam,"tempe, kulit ayam, bawang merah, bawang putih, cabai rawit, kecap manis, serai, lengkuas, daun jeruk, daun salam, garam",ayam,Tempe Tumis Kulit Ayam,"Goreng tempe sampai setengah kering, lalu sisihkan. Cuci bersih kulit ayam, rendam, lalu cuci bersih kembali. Tumis bawang merah dan bawang putih yang telah dihaluskan hingga harum. Masukkan cabai rawit, serai, lengkuas, daun jeruk, daun salam, dan kulit ayam. Tumis sampai kulit ayam matang. Masukkan tempe yang sudah digoreng, lalu kecap manis dan garam. Aduk sampai semua bumbu rata."
Rolade Ayam+wortel,"ayam, jeruk nipis, wortel, telur, bawang putih, bawang merah, lada, garam, gula, daun pisang",ayam,Rolade Ayam Wortel,"Cuci bersih ayam dengan jeruk nipis, lalu fillet dan cincang atau haluskan. Cincang wortel, lalu campurkan ke ayam. Haluskan bawang merah, bawang putih, lada, gula, dan garam, lalu campurkan ke ayam dan wortel. Campurkan juga 1 butir telur, aduk hingga rata. Kocok lepas 3 butir telur, lalu dadar. Setelah dadaran jadi, lebarkan telur, lalu tuangkan ayam dan ratakan mengikuti lebarnya telur. Gulung telur dengan menggunakan daun pisang. Panaskan dandang yang diberi air, lalu kukus hingga matang."
Ayam Pedas Bumbu Kuning,"ayam, daun jeruk, serai, cabai merah, cabai keriting, tomat, kemiri, bawang merah, bawang putih, kunyit, garam, gula, lada",ayam,Ayam Pedas Bumbu Kuning,"Cuci ayam dengan daun jeruk, lalu tiriskan. Haluskan cabai merah, cabai keriting, tomat, kemiri, bawang merah, bawang putih, kunyit, garam, gula, dan lada. Tumis bumbu halus hingga harum, kemudian tambahkan serai. Beri air, lalu masukkan ayam. Masak dengan api sedang hingga bumbu meresap sempurna dan ayam empuk."
Ayam geprek ala anak kos,"ayam, bawang putih, bawang merah, ketumbar, kunyit, air, garam, tepung, cabai rawit",ayam,Ayam Geprek,"Potong ayam ukuran sedang, lalu cuci dan masukkan ke panci. Beri 1 liter air. Kupas dan cuci bawang merah, bawang putih, kunyit, dan ketumbar, lalu haluskan dan beri garam. Setelah halus, masukkan bumbu ke dalam panci berisi ayam. Rebus sampai air tinggal setengah, lalu tiriskan. Masukkan ayam ke dalam tepung, remas, dan diamkan sejenak. Goreng ayam hingga kuning kecoklatan. Untuk bumbu geprek, kupas dan cuci cabai rawit, lalu goreng hingga layu. Angkat, kemudian haluskan. Ambil ayam, lalu geprek di atas bumbu."
Sate Ayam Homemade Lengkap Bumbu Kacang ala Sii Trias💓,"ayam, sate, bawang putih, garam, kecap manis, minyak goreng, saus, sambal, kacang tanah, gula merah, air, cabai rawit",ayam,Sate Ayam Bumbu Kacang,"Potong dadu ayam, lalu tusuk dengan tusuk sate. Haluskan bawang putih dan garam, lalu campurkan dengan kecap manis, saus, dan minyak goreng. Lumuri sate dengan bumbu, kemudian bakar di atas arang, sesekali olesi dengan sisa bumbu. Untuk sambal kacang, haluskan kacang tanah, gula merah, air, dan cabai rawit, kemudian masak di atas wajan sambil sesekali diaduk. Untuk sambal kecap, iris cabai rawit, lalu tambahkan kecap manis dan air, aduk rata."
Kari Ayam kampung,"ayam kampung, bawang merah, bawang putih, jahe, daun jeruk, daun salam, jintan, kembang lawang, kayu manis, saus, kari, garam, gula, penyedap rasa",ayam,Kari Ayam Kampung,"Iris bawang merah. Haluskan bawang putih dan jahe. Tumis jintan, kembang lawang, kayu manis, daun jeruk, daun salam, bawang merah, dan bumbu halus hingga harum. Setelah itu, masukkan saus dan kari, aduk rata. Masukkan ayam kampung yang telah dicuci bersih, aduk rata. Tambahkan air, garam, gula, dan penyedap rasa. Masak hingga meresap."
Bubur Ati Ayam Saus Edamame,"nasi, ati, kacang kedelai, kaldu, wortel, daun salam, bawang putih, bawang merah",ayam,Bubur Ati Ayam Saus Edamame,"Masak nasi lembek dengan daun salam. Masak 1 centong nasi hingga air surut setengah. Untuk saus kacang kedelai, masak air, masukkan daun salam, bawang merah, dan bawang putih yang sudah diiris. Masak sampai mendidih, lalu masukkan ati. Masak sampai air surut setengah, kemudian masukkan kacang kedelai dan wortel. Masak hingga matang, lalu tiriskan. Haluskan semua bahan saus, tambahkan sedikit air rebusan, dan tuangkan di wadah. Taburkan kaldu."
Ayam Woku,"ayam kampung, daun bawang, serai, tomat, daun jeruk, daun kunyit, cabai rawit, garam, bawang merah, bawang putih, cabai merah, kunyit, jahe, daun kemangi",ayam,Ayam Woku,"Cuci bersih ayam kampung. Rebus sebentar ayam kampung di air mendidih. Haluskan bawang merah, bawang putih, cabai merah, cabai rawit, kunyit, dan jahe. Tumis bumbu halus hingga harum, kemudian masukkan serai, tomat, daun jeruk, daun kunyit, dan daun bawang. Tumis hingga tidak berbau langu. Setelah itu, masukkan ayam kampung, garam, dan air. Masak hingga bumbu meresap dan ayam kampung lunak. Masukkan daun kemangi sebelum diangkat, lalu aduk."
Sate jantung ayam,"ayam, sate, ketumbar, bawang putih, garam",ayam,Sate Jantung Ayam,"Cuci bersih jantung ayam, lalu Potong menjadi dua bagian. Campurkan jantung ayam dengan ketumbar, bawang putih, dan garam yang sudah dihaluskan. Diamkan selama 20 menit di dalam kulkas agar bumbu meresap. Kemudian tusuk jantung ayam dengan tusukan sate, lalu Bakar hingga matang."
Chicken terriyaki saos lada hitam,"ayam fillet, saus teriyaki, lada, bawang putih, bawang bombay, cabai rawit, kecap manis",ayam,Ayam Teriyaki Saus Lada Hitam,"Rendam ayam fillet dengan saus teriyaki dan lada selama 15 menit. Tumis bawang putih dan bawang bombay hingga harum. Kemudian masukkan cabai rawit yang sudah diiris. Masukkan ayam fillet beserta saus rendaman. Tambahkan kecap manis, aduk, lalu beri air secukupnya. Masak hingga ayam fillet matang dan air menyusut."
Ayam goreng penyet /geprek /gepuk sambal bawang,"ayam, jahe, kunyit, serai, lengkuas, bawang merah, bawang putih, kemiri, ketumbar, daun salam, daun jeruk, sambal, cabai rawit, garam, gula, minyak goreng",ayam,Ayam Goreng Penyet Sambal Bawang,"Bersihkan ayam. Haluskan bawang putih, bawang merah, kemiri, ketumbar, kunyit, dan jahe. Memarkan lengkuas dan serai. Kemudian masukkan bumbu halus ke dalam panci, beri air secukupnya, masukkan ayam, daun salam, daun jeruk, dan garam. Masak hingga mendidih dan matang. Angkat dan tiriskan ayam yang sudah matang. Panaskan minyak goreng dengan api sedang, lalu Goreng ayam hingga kecoklatan, kemudian angkat dan tiriskan. Untuk sambal bawang, cuci bersih cabai rawit. Haluskan cabai rawit, garam, dan gula. Siram dengan minyak goreng panas. Masukkan ayam goreng, lalu Penyet."
Soto Ayam,"ayam, daun bawang, seledri, minyak goreng, garam, gula, air, bawang putih, kunyit, jahe, lengkuas, daun jeruk, serai, bawang merah, ketumbar, lada",ayam,Soto Ayam,"Cuci bersih ayam. Masukkan ayam ke dalam panci berisi air, lengkuas, daun jeruk, dan serai. Masak hingga ayam empuk. Haluskan bawang putih, kunyit, jahe, bawang merah, ketumbar, dan lada. Tumis bumbu halus dengan minyak goreng hingga harum dan matang. Masukkan tumisan bumbu ke dalam panci berisi ayam. Beri garam dan gula, serta masukkan seledri. Masak hingga bumbu meresap. Masukkan daun bawang, lalu matikan api."
Sempol Ayam,"ayam fillet, tepung tapioka, telur, daun bawang, wortel, maizena, bawang putih, garam, kaldu jamur",ayam,Sempol Ayam,"Blender ayam fillet, telur, garam, kaldu jamur, dan bawang putih. Campurkan adonan dengan tepung tapioka, maizena, wortel, dan daun bawang, lalu aduk rata. Bentuk adonan, beri tusukan, lalu kukus selama 20-25 menit. Celupkan sempol ke bahan pencelup, lalu Goreng dengan minyak panas api sedang hingga kuning kecoklatan."
Chicken Blackpepper,"ayam, bawang bombay, bawang putih, cabai hijau, cabai merah, cabai rawit, lada, air, garam, minyak goreng",ayam,Ayam Lada Hitam,"Tumis bawang putih dengan minyak goreng sebentar, kemudian masukkan bawang bombay, Tumis hingga harum. Masukkan cabai hijau, cabai merah, dan cabai rawit, lalu Tumis hingga bawang layu. Masukkan ayam, lalu Tumis hingga berubah warna. Setelah berubah warna, masukkan air dan masak hingga air hampir mendidih. Setelah air hampir mendidih, masukkan saus lada hitam, aduk hingga rata, dan beri garam serta lada. Masak dengan api kecil selama 1 jam hingga bumbu meresap dan airnya menyusut."
Ayam tepung bumbu sarden,"ayam fillet, daun bawang, telur, tepung, air, bawang putih, cabai rawit, garam, minyak goreng",ayam,Ayam Tepung Bumbu Sarden,"Cuci bersih ayam fillet. Masukkan ayam fillet ke dalam wadah, campurkan dengan telur, daun bawang, tepung, dan garam, lalu aduk rata. Panaskan minyak goreng, lalu Goreng ayam tepung hingga coklat matang, kemudian angkat. Bersihkan sisa minyak. Masukkan 4 sendok makan minyak goreng ke dalam wajan, lalu Tumis bawang putih dan cabai rawit hingga harum. Setelah harum, masukkan ayam tepung, aduk perlahan, kemudian masukkan sisa air sarden."
Ayam Kecap Pedas,"ayam, cabai rawit, bawang merah, bawang putih, jahe, kunyit, lada, kemiri, daun salam, serai, daun jeruk, garam, gula, kaldu, kecap manis, air, minyak goreng",ayam,Ayam Kecap Pedas,"Cuci bersih ayam, kemudian tiriskan. Tumis cabai rawit, bawang merah, bawang putih, jahe, kunyit, lada, kemiri, daun salam, serai, dan daun jeruk hingga harum. Masukkan garam, gula, dan kecap manis, lalu tumis hingga bumbu setengah kering. Setelah itu, masukkan ayam dan air, kemudian rebus hingga air hampir habis. Masukkan kaldu, aduk, lalu matikan api saat kuah hampir habis."
Oseng Ayam Kemangi,"ayam, kemangi, bawang merah, bawang putih, cabai hijau, cabai rawit, lengkuas, garam, gula, minyak goreng",ayam,Oseng Ayam Kemangi,"Rebus ayam sampai berubah warna, kemudian dinginkan. Potong ayam. Panaskan minyak goreng, tumis bawang merah hingga harum. Lalu masukkan bawang putih, aduk sebentar, dan masukkan cabai hijau, cabai rawit, dan lengkuas. Tumis hingga cabai layu. Kemudian masukkan ayam, tumis sebentar, lalu tambahkan air rebusan ayam yang sudah disaring. Setelah airnya surut, masukkan kemangi, garam, dan gula. Aduk sampai kemangi layu."
Soto Ayam (khas Malang),"ayam, air, serai, daun salam, daun jeruk, cengkeh, garam, kentang, tauge, kubis, seledri, telur, jeruk nipis, kecap manis, sambal, bawang merah, bawang putih, kunyit, jahe, lada, ketumbar, kemiri",ayam,Soto Ayam,"Panaskan minyak goreng. Tumis bawang merah, bawang putih, kunyit, jahe, lada, ketumbar, dan kemiri hingga harum. Tambahkan air, aduk rata, lalu biarkan airnya habis. Sisihkan. Didihkan air, rebus ayam sampai matang. Buang air rebusan, lalu kupas kulit ayam dan gunakan dagingnya saja. Didihkan air baru, masukkan bumbu halus yang sudah ditumis, serai, daun salam, daun jeruk, dan cengkeh. Tambahkan garam. Goreng ayam sampai agak kering, lalu Iris tipis. Sajikan soto dengan kentang, tauge, kubis, seledri, telur, jeruk nipis, kecap manis, dan sambal."
Opor ayam,"ayam, jeruk nipis, garam, serai, daun salam, daun jeruk, santan, minyak goreng, bawang merah, bawang putih, kemiri, lengkuas, jahe, ketumbar, jintan",ayam,Opor Ayam,"Cuci bersih ayam, beri air jeruk nipis, aduk rata, lalu diamkan. Cuci ayam kembali, beri garam, aduk rata, lalu diamkan. Goreng ayam sebentar. Panaskan minyak goreng, tumis bawang merah, bawang putih, kemiri, lengkuas, jahe, ketumbar, dan jintan hingga harum dan matang. Masukkan serai, daun salam, dan daun jeruk. Masukkan ayam, aduk sampai bumbu tercampur rata dan ayam berubah warna. Masukkan santan, aduk rata, dan masak sampai ayam setengah matang. Tambahkan garam. Masak sampai santan mendidih dan ayam matang. Angkat."
Abon ayam enak,"ayam, santan, daun salam, daun jeruk, lengkuas, bawang putih, bawang merah, garam, gula, gula merah",ayam,Abon Ayam,"Kukus ayam yang sudah dicuci bersih. Haluskan bawang merah, bawang putih, lengkuas, garam, gula, dan gula merah. Tumis bumbu yang sudah dihaluskan hingga harum. Masukkan santan, aduk rata. Kemudian masukkan daun salam dan daun jeruk. Aduk lagi hingga mendidih, lalu matikan api. Angkat dan tiriskan ayam yang sudah dikukus. Suwir ayam. Haluskan ayam yang sudah disuwir. Masukkan ayam yang sudah dihaluskan ke dalam bumbu yang sudah ditumis. Aduk secara merata dengan api kecil hingga abon mengering."
Ayam Saus Jeruk,"ayam, tepung, minyak goreng, saus, air, jeruk, gula, mayonaise, maizena, garam, bawang bombay",ayam,Ayam Saus Jeruk,"Lumuri ayam dengan tepung yang sudah diencerkan, kemudian goreng menggunakan minyak goreng hingga kecoklatan, lalu tiriskan. Dalam wajan terpisah, rebus air dan gula. Tambahkan bawang bombay, perasan jeruk, mayonaise, dan garam, lalu aduk hingga mayonaise larut. Masukkan larutan tepung maizena, kemudian aduk hingga saus mengental. Setelah itu, siram ayam goreng dengan saus yang sudah matang."
